,rating,uncertainty
Sasha Belle,8.415059950171354,1.9597214654927204
Jaymes Mansfield,8.275360065992253,1.9788072143834239
Alisa Summers,8.01271291366518,2.399586964350028
Laila McQueen,7.996734230973529,2.2236642547587833
Honey Davenport,7.847891563671374,1.2723323925200682
Serena ChaCha,7.667618814194999,2.128655347094459
Mercedes Iman Diamond,7.602915930976066,1.1622024662505623
Kalorie Karbdashian Williams,7.546662697324825,2.015235418781177
Penny Tration,4.846241613527237,2.3695125536359836
"Victoria ""Porkchop"" Parker",4.81268862265069,2.4253361891653196
Tempest DuJour,4.059926571957377,2.4351519282700846
Shangela Laquifa Wadley,3.525980940656628,2.259576883566376
Venus D-Lite,3.4001920277350153,2.2149267131322756
Soju,2.3415737130319405,1.824273411679737
Kahanna Montrese,0.5507465611418557,1.7635696924093527
